common name,download_link,species_name
Moose,https://www.iucnredlist.org/species/pdf/22157381,Alces alces
Arctic Fox,https://www.iucnredlist.org/species/pdf/57549321,Alopex lagopus
Harris's Antelope Squirrel,https://www.iucnredlist.org/species/pdf/115189204,Ammospermophilus harrisii
Pronghorn,https://www.iucnredlist.org/species/pdf/115056938,Antilocapra americana
Pallid Bat,https://www.iucnredlist.org/species/pdf/22129152,Antrozous pallidus
Mountain Beaver,https://www.iucnredlist.org/species/pdf/115057269,Aplodontia rufa
Guadalupe Fur Seal,https://www.iucnredlist.org/species/pdf/45224420,Arctocephalus townsendi
Bowhead Whale,https://www.iucnredlist.org/species/pdf/50347659,Balaena mysticetus
Common Minke Whale,https://www.iucnredlist.org/species/pdf/50348265,Balaenoptera acutorostrata
Sei Whale,https://www.iucnredlist.org/species/pdf/130482064,Balaenoptera borealis
Bryde's Whale,https://www.iucnredlist.org/species/pdf/50349178,Balaenoptera edeni
Blue Whale,https://www.iucnredlist.org/species/pdf/156923585,Balaenoptera musculus
Fin Whale,https://www.iucnredlist.org/species/pdf/50349982,Balaenoptera physalus
Ringtail,https://www.iucnredlist.org/species/pdf/45215881,Bassariscus astutus
Cacomistle,https://www.iucnredlist.org/species/pdf/166521324,Bassariscus sumichrasti
American Bison,https://www.iucnredlist.org/species/pdf/123789863,Bison bison
Northern Short-tailed Shrew,https://www.iucnredlist.org/species/pdf/115187102,Blarina brevicauda
Southern Short-tailed Shrew,https://www.iucnredlist.org/species/pdf/115187223,Blarina carolinensis
Pygmy Rabbit,https://www.iucnredlist.org/species/pdf/45176206,Brachylagus idahoensis
Northern Fur Seal,https://www.iucnredlist.org/species/pdf/45224953,Callorhinus ursinus
Coyote,https://www.iucnredlist.org/species/pdf/163508579,Canis latrans
Grey Wolf,https://www.iucnredlist.org/species/pdf/247624660,Canis lupus
Red Wolf,https://www.iucnredlist.org/species/pdf/163509841,Canis rufus
North American Beaver,https://www.iucnredlist.org/species/pdf/22187946,Castor canadensis
Red Deer,https://www.iucnredlist.org/species/pdf/142404453,Cervus elaphus
Bailey's Pocket Mouse,https://www.iucnredlist.org/species/pdf/115068087,Chaetodipus baileyi
Mexican Long-tongued Bat,https://www.iucnredlist.org/species/pdf/22042479,Choeronycteris mexicana
Condylura cristata,https://www.iucnredlist.org/species/pdf/115187740,Condylura cristata
American Hog-nosed Skunk,https://www.iucnredlist.org/species/pdf/45210809,Conepatus leuconotus
Corynorhinus townsendii,https://www.iucnredlist.org/species/pdf/21976681,Corynorhinus townsendii
Cynomys leucurus,https://www.iucnredlist.org/species/pdf/22261371,Cynomys leucurus
Cynomys ludovicianus,https://www.iucnredlist.org/species/pdf/115080297,Cynomys ludovicianus
Utah Prairie Dog,https://www.iucnredlist.org/species/pdf/22260975,Cynomys parvidens
Hooded Seal,https://www.iucnredlist.org/species/pdf/45225150,Cystophora cristata
Nine-banded Armadillo,https://www.iucnredlist.org/species/pdf/47440785,Dasypus novemcinctus
Beluga Whale,https://www.iucnredlist.org/species/pdf/50352346,Delphinapterus leucas
Common Dolphin,https://www.iucnredlist.org/species/pdf/199893039,Delphinus capensis
Common Dolphin,https://www.iucnredlist.org/species/pdf/199893039,Delphinus delphis
Virginia Opossum,https://www.iucnredlist.org/species/pdf/22176259,Didelphis virginiana
Giant Kangaroo Rat,https://www.iucnredlist.org/species/pdf/220892537,Dipodomys ingens
Tayra,https://www.iucnredlist.org/species/pdf/45212151,Eira barbara
Sea Otter,https://www.iucnredlist.org/species/pdf/219377647,Enhydra lutris
Big Brown Bat,https://www.iucnredlist.org/species/pdf/22118197,Eptesicus fuscus
North American Porcupine,https://www.iucnredlist.org/species/pdf/22213161,Erethizon dorsatum
